,Unnamed: 0,drugName,condition,review,rating,date,usefulCount
0,0,metformin,"Diabetes, Type 2","""I don&#039;t like this particular brand of Metformin. It doesn&#039;t have consistent results. My A1C  was down to 5.9 from 11.8 when first diagnosed  in 2009 after receiving a round of steroid shots for my back pain. My doctor had put me on a series of different diabetic  type 2 meds. They found I was insulin resistance. So, they put me on Actos  for about  6 months and that is what got everything under control. I also had a extreme diet change  in 4 months I lost 100 lbs. Also helped my numbers. Unfortunately I had a life changing event which required me too move out of state. I just had my urine checked and my kidneys seem to be fine but having major issue when my sugar is 129 -. My A1C has gone up since taking this. Itching, diarrhea, weight gain""",1.0,"August 11, 2015",21
1,1,metformin,"Diabetes, Type 2","""Newly diagnosed Diabetes Type 2 from a HbA1c.
No symptoms. Good kidney function, etc. My Full Blood Glucose was 5.3/5.7 in the morning.
Took half a 500mg Metformin XR with my meal.
1 hour: tightness of throat/breathing, slight, but enough.
Then a migraine aura like I&#039;ve never had in my life.
Followed by the worst dehydration headache ever for 24 hours, despite drinking plenty.
Extremely thirsty, and frequent urination, even at night.
Diarrhea the following morning.
Took another 250mg, half a tablet the following day with main meal.
Next morning: pain round lower ribs, ache to liver &amp; kidneys.  
Overlying muscles felt torn/pulled.
Continued kidney/liver pain &amp; loss of kidney function by urine test.
Increased blood sugar readings duration of meds
Lactic Acidosis""",1.0,"July 4, 2014",52
3,3,metformin,"Diabetes, Type 2","""I feel like it helps to lower my blood sugar, but sometimes the side effects are unbearable. I have severe stomach problems. I take 1000mg twice a day.""",5.0,"April 10, 2009",55
7,7,metformin,"Diabetes, Type 2","""It has not lowered my A1C. My glucose levels stay in the 120-140 range. I have had increased sweats, and i am 66  yrs. old, increased hunger and weight gain, nervousness.""",4.0,"May 18, 2016",25
9,9,metformin,"Diabetes, Type 2","""I was diagnosed in 2010 as &quot;borderline&quot; Type 2 and given Met 500mg dose 1 x day at breakfast. I was overweight and already being treated for Hypothyroidism with Levothyroxine sodium. after several months on it I started losing muscle strength and tiring easily, sleeping in afternoons, something I&#039;d never done before. 
My husband was also on it 2 or 3x 800 mg per day,I don&#039;t remember now, but having been diagnosed years earlier in UK. he was ok on it, despite  also being on French equivalent of 
Warfarin, and something else, since his triple bypass op in 2008. So same drug doesn&#039;t always suit everyone, depending on other health factors. I ended up with a swollen spleen after taking Metformin, so took myself off it just B4 scan confirmed it!""",1.0,"October 4, 2015",27
10,10,metformin,"Diabetes, Type 2","""First reaction was stomach cramps and diarrhea. Things settled down in two days, after three weeks now feel very tired.""",5.0,"May 28, 2009",42
13,13,metformin,"Diabetes, Type 2","""I am a 64 year old male. I stopped taking this drug (along with Glimepiride) after only 8 days because I was experiencing constant exhaustion and shortness of breath. Walking up the steps caused me to pant and have to sit and rest. I wanted to sleep all the time. I never took a sugar reading during the 8 days I was taking it, so it may very well have worked to lower my sugar. I just couldn&#039;t live with the side effects, and felt better within hours of stopping taking it (and Glimepiride). I will go back to my doctor after the holiday to try something else.""",3.0,"July 4, 2009",49
15,15,metformin,"Diabetes, Type 2","""Fasting sugars still high.  Even at an increased dose to 1000 mg/2x day. From day 1, I had diarrhea, which did not abate. Ended up with excruciating painful fissures and had to have surgery. Recovery time was awful. All due to metformin.""",1.0,"February 16, 2016",37
17,17,metformin,"Diabetes, Type 2","""Terrible medication in my experience. It helped very little with a1c and blood sugar control. I did not have any day to day side effects from this medication however I continuously suffered from high lactic acid levels which created severe pains all over my body which was just too much to take. I have switched to another oral medication and seeing the results that I have been searching for. As far as this medication- never again. I started it for Polycystic ovarian syndrome; later used for type 2 diabetes .""",2.0,"November 18, 2017",1
18,18,metformin,"Diabetes, Type 2","""Because their system  doesn&#039;t let me tell you how bad I felt, now all I can tell is that do not take it!""",1.0,"December 6, 2016",28
20,20,metformin,"Diabetes, Type 2","""Taking metformin twice daily for nine days now - 1st time user - horrible stomach cramps and diarrhea first 7 days but clearing up now, sleeping 10-13 hours every other day and feeling tired in evening, not in morning. Nauseous when eating anything in evening, headaches in evening also. Seeing drop in glucose readings of about 30 points fasting at this time, some weight loss probably from fluid loss and not eating much in evenings.""",5.0,"March 4, 2010",20
28,28,metformin,"Diabetes, Type 2","""My estranged husband was sent to the ER twice 5 days ago, 1st time they sent him home after 3 hrs., then his friend brought him back at 3am the next night, as his friend thought he looked so bad! He got sick on a Sun and got progressively worse over the next few days. Awful nausea couldn&#039;t eat was so weak he could not get up. They did all sorts of tests and his ER doc said it wasn&#039;t metformin as his blood work didn&#039;t show lactic acidosis. But after reading reviews from other people who had similar effects, I am convinced the metformin is to blame.""",1.0,"September 19, 2017",7
35,35,metformin,"Diabetes, Type 2","""This medicine caused erectile dysfunction and causes weight gain and sluggishness!""",3.0,"January 11, 2013",68
37,37,metformin,"Diabetes, Type 2","""I&#039;ve been on Metformin for six years. I was recently changed from 500 mg twice daily to 1000 mg twice daily. I never had problems with the 500 mg but since going on the increased dose I find myself totally exhausted all the time. I also have very itchy skin and red spots which appear randomly on my body. It also is failing to reduce blood sugar which is really frustrating.""",2.0,"February 19, 2015",103
38,38,metformin,"Diabetes, Type 2","""I&#039;m a 62 year old male. Some years back, I was experiencing a very dry mouth and frequent urination. I had my blood sugar level measured and it was at 350 so I was prescribed Metformin. The Metformin brought my sugar level down to about 150 but gave me a very bad upset stomach. The nausea wasn&#039;t temporary for me. It didn&#039;t clear up even after taking the metformin for weeks. However, I did find a solution to the problem. I switched from the regular fast acting metformin to the extended release metformin XR. The difference was like night and day. I have had no nausea at all using the metformin XR. If you&#039;re having stomach problems using regular metformin, I suggest trying the extended release version. I now take 2000 mg of metform XR daily.""",2.0,"October 12, 2012",129
40,40,metformin,"Diabetes, Type 2","""Horrible diarrhea. Couldn&#039;t leave the house.""",1.0,"February 4, 2013",102
44,44,metformin,"Diabetes, Type 2","""I was on Avandamet for years but the weakness, tiredness, and especially the diarrhea came to be too much to bear.  If I wanted to go someplace I had to stop medicating.  I had to take one pill twice a day which resulted in 3 bouts of diarrhea per pill.  My blood sugars were well within range and I have found nothing since to bring them down to that level but I refuse to be bound by side effects any longer.""",4.0,"July 4, 2011",24
51,51,metformin,"Diabetes, Type 2","""This was the first drug they tried for me when I was diagnosed with diabetes. I was unlucky to get one of the rare side effects. It made me super drowsy to where I couldn&#039;t get out of bed. When I did get up for maybe eating or bathroom, I felt like a zombie. Working was impossible. I went off the med, felt better, and tried it a second time with the same effect.
I gave this a two because I know this drug can work for some people. It works well for my husband with minimal side effects. Just not for me.""",2.0,"December 9, 2017",0
52,52,metformin,"Diabetes, Type 2","""Metallic taste, diarrhea. Need to take medicine before food. Drink a lot of water.""",4.0,"July 2, 2015",32
53,53,metformin,"Diabetes, Type 2","""I was put on metformin in April 2011 when I was diagnosed with diabetes.  First I was taking 2 x 500mg once a day with evening meal.  Now (December 2011) I am taking 4 x 500mg twice daily. The main side effect has been horrible diarrhea throughout!  So I am regularly taking Imodium to cope with it.  My A1C has gone down 1%.  So for me it is a toss up, yes blood sugar has gone down but now I have to take diarrhea medicine plus use diaper rash ointment. I would like to try something else so my butt could heal!""",4.0,"December 8, 2011",51
54,54,metformin,"Diabetes, Type 2","""I was on Metformin when I was first diagnosed with type 2.  It had no effect on my A1C or my daily levels.  I tried it for 2 years.  I ended up with diarrhea all the time.  They tried switching me to metformin ER(SR) and that didn&#039;t help either.  I then was switched glyburide 5mg 2 times a day.  The first dose dropped my blood sugar into the 50&#039;s.  I called the Dr she switched it to 2.5mg twice a day.  my A1C is down to 5.6 my daily levels are back to normal.  Just because a drug is effective for one person it may not be for another.  Don&#039;t be afraid to ask questions.""",1.0,"July 26, 2017",20
55,55,metformin,"Diabetes, Type 2","""I found out I have type 2 diabetes back in May when going on for spine surgery. Dr increased my dosage to 2&times; day. I have been sick to my stomach with vomiting and have zero apatite ...""",1.0,"August 28, 2016",18
60,60,metformin,"Diabetes, Type 2","""Helped me with my blood sugar levels and I lost 10 lbs. in a month. Down side, horrible stomach pain 24/7, nausea and diarrhea.  Doctor is changing my medicines.""",3.0,"October 28, 2009",21
62,62,metformin,"Diabetes, Type 2","""So I been on metformin for about 3 maybe 4 month&#039;s (not really for sure so please forgive me) and I was finely having regular menstrual cycles. In January 31, 2017 I spotted and was cramping a lot , I thought it was time for me to start my period, well I haven&#039;t had my menstrual cycles since then. I have taking so many pregnancy test and they have all come out negative. At this point I am worried, is there anyone that can help or something before I loss my mind?!?!""",5.0,"March 26, 2017",5
65,65,metformin,"Diabetes, Type 2","""I have diabetes type 2. My doctor prescribed 500mg two times a day. After the fourth day,
I noticed my heart was racing, sometimes at 90 beats a minute.  My heart had NEVER done that, as I am in excellent shape, a power walker/jogger. I knew that the metformin caused it because as I sat with wife over supper, I took the 500mg pill half way through the meal. Within a few minutes my heart was pounding almost out of control. My blood pressure monitor showed normal blood pressure, but a pulse of 101. I stopped the drug right away. The problem is that it takes 4 days for this damn drug&#039;s effects to leave the body. So now I am taking  a sedative which lowers the heart rate, while I wait for these 4 days to pass. I am a 67 year old male.""",1.0,"January 18, 2017",28
68,68,metformin,"Diabetes, Type 2","""I&#039;m male, 52, and a Type-2 diabetic, now on insulin. I have been a diabetic for 11 years, and took glipizide for eight of those years to successfully control my glucose levels. When my PCP moved away, I had to find a new one. My new PCP switched me from glipizide to metformin. As much as I tried to carefully titrate on to the medicine, metformin left me feeling bloated and with chronic diarrhea. My body simply would not tolerate metformin. I ended up seeing an endocrinologist, and he switched me to insulin, and I am VERY happy with that move. My glucose levels are under control, and I don&#039;t have to deal with any adverse effects. The pen-needle injections hurt less than a finger prick, so going on insulin has not been a problem at all.""",1.0,"April 16, 2011",44
76,76,metformin,"Diabetes, Type 2","""I experienced severe increases in my blood pressure. Had anxiety and panic attaches. Had a small ischemic stroke. Had weakness, numbness and tingling in muscles, muscle cramps, bad taste in mouth. Headaches and confusion.""",4.0,"April 1, 2017",27
78,78,metformin,"Diabetes, Type 2","""I was on Meformin for about a month (500mg twice a day).  I was told that it would give me stomach problems and loose stools, but since I have irritable bowel syndrome, that didn&#039;t worry me.  As it turns out, this medicine had the opposite affect.  I had constipation all the time.  Only a good dose of laxatives would help, but even then I had to strain pretty hard to relieve myself.  Finally, my doctor decided to take me off the medication, since my readings were in the mid 80&#039;s.  I&#039;ve been off for about two days and I&#039;m feeling very light-headed.  I&#039;m hoping this will pass soon.  My readings are still good, and the constipation is abating.""",5.0,"July 22, 2009",34
79,79,metformin,"Diabetes, Type 2","""Sugar still 170 ish , Taking 250mg 2x /day with food and plenty of water , was supposed to exercise also but can&#039;t due to stomach pain very bad, achey joint , blurred vision and did i mention stomach pain very bad. If Dr don&#039;t call me back today , Im off this crap . I feel worse now than I did 2 weeks ago. Several times worse.""",1.0,"April 29, 2016",42
87,91,glimepiride,"Diabetes, Type 2","""I have had the Amaryl and after 4 month my love life was gone, and another person that I know, he had the same problem. He is still using Amaryl and now even Viagra doesn&#039;t work any more.""",1.0,"December 28, 2012",47
91,95,glimepiride,"Diabetes, Type 2","""Stomach pain and loose stools.""",5.0,"January 2, 2015",40
